,Scientific Name,Common Name,Maturity,Pollution Removal Per Year
,Fraxinus oxycarpa 'Raywood',Ash - Narrow-leafed,Middle aged,300.3,-0.125982,51.515399
,Tilia platyphyllos,Lime - Large-leaved,Mature,378.8,-0.164227,51.557735  
,Sorbus aucuparia 'Streetwise',Mountain-ash,Middle aged,12.6,-0.120275,51.528622  
,Fraxinus oxycarpa 'Raywood',Ash - Narrow-leafed,Mature,341.9,-0.143751,51.54626 
,Tilia tomentosa,Lime - Silver,Juvenile,,-0.161511,51.541525  
,Alnus incana,Alder - Grey,Middle aged,29.3,-0.133224,51.547435 
,Platanus x hispanica,London plane,Mature,823.5,-0.128759,51.513636  
,Fraxinus oxycarpa 'Raywood',Ash - Narrow-leafed,Middle aged,54.7,-0.172758,51.546869
,Platanus x hispanica,London plane,Mature,605,-0.149646,51.545061  
,Prunus laurocerasus,Laurel - Cherry,Mature,33.3,-0.147414,51.564512  
,Pyrus salicifolia 'Pendula',Pear - Weeping leaved,Mature,27.2,-0.143453,51.567899
,Tilia cordata,Lime - Small-leaved,Mature,399.6,-0.160401,51.541598  
,Sorbus,Rowan,Middle aged,55,-0.144694,51.560929    
,Tilia europaea,Lime - Common,Mature,277.7,-0.192662,51.540261  
,Acer campestre,Maple - Field,Mature,127.1,-0.142257,51.561193  
,Alnus cordata,Alder - Italian,Juvenile,3.5,-0.174167,51.558549  
,Prunus avium,"Cherry - Wild Gean",Middle aged,50.8,-0.182019,51.53984
,Parks,Crataegus unidentified species,13,2.2,184090,-0.13337   
,Acer pseudoplatanus,Sycamore,Mature,450,-0.176611,51.540674    
,Ulmus 'Columella',Elm - Dutch,Juvenile,,-0.143903,51.529492  
,Parrotia persica vanessa,Persian Ironwood,Juvenile,,-0.154683,51.537749  
,Crataegus x lavallei,Hawthorn - Cockspur,Middle aged,46,-0.19611,51.545134
,Malus yunnanensis veitchii,Apple,Middle aged,31.8,-0.154663,51.549064  
,Betula pendula,Birch - Silver,Mature,161.4,-0.183023,51.549703  
,Platanus x hispanica,London plane,Mature,605,-0.154804,51.55189  
,Acer platanoides 'Unknown vari,Maple - Norway,Middle
,Alnus glutinosa,Alder - Common,Juvenile,,-0.128345,51.53301  
